_id	content	name
20	:【普京下狠手，给予美国致命一击，特朗普叙利亚布局如何收场？】叙利亚显然不简单是反恐的问题，大国博弈赢得地区战略主动权才是问题核心。美国虽然强势，但是俄罗斯也绝不手软。美国刚刚宣布要在叙利亚成立边防军，出兵3万建设强大边防军，准备在叙利亚打造国中之国，...http://t.cn/RQ3M2LF ?	林金克V
21	:发布了头条文章：《强势出击叙利亚，艾尔多安意欲何为》 强势出击叙利亚，艾尔多安意欲何为 ?	华文工厂
22	:有点道理啊。《为什么总是听不到土耳其大胜的消息？那就是败了》这样对峙的就是：土耳其军队与支持的“叙利亚自由军”为一方，对库尔德民兵组织和美国和以色列支持的“叙利亚民主军”为一方。http://t.cn/RQ1EW1p ?	江淮弩士1
23	:俄罗斯“神奇炮弹” 亮相叙利亚，瞬间秒杀袭俄叛军！ 微观军情的秒拍视频 ?	微观军情
24	:美军突然在叙利亚又建一军事基地 战车遍地：阻挡四国联军大会师 雷神驾到_72的秒拍视频 ?	雷神驾到_72
25	:>> 用薯片引诱饱受饥饿的叙利亚儿童，68名儿童就这么被炸死....一名战地记者放下了手中相机想要救助孩子们，在看到地上躺着的孩子们的尸体时，他跪地痛哭...这些饱受战争摧残的叙利亚儿童，真的让人好心疼[心] 战争最后伤害的，都是无辜的人。 ?	内涵搞笑
26	:米立刻引爆伊朗油船，鸡霸海军航妈黑鱼灰机全军出击，米所有战略灰机处于战备状态，大战一触即发。伊朗同时火箭炮吓唬米航妈，小米有苦说不出来。土鸡国乘机杀入叙利亚，无人照看的库尔德人能不能顶住土鸡的三光政策已经成为了大疑问。军事必然配套金融大战，鸡币乘机收复失地，米刀由于军事受挫信心受损，无法遏制鸡币升值。同时各种超级武器显示出威力。	一瓢堂
27	:发表了博文《美国领导的联盟在叙利亚袭杀150“伊斯兰国”分子》&#65279;叙利亚及周边国家地理位置图2018年1月24日巴布五角大楼—美国领导的叙利亚反“伊斯兰国”联盟说，星期六在叙利亚东部的精确美国领导的联盟在叙利亚袭杀150“伊斯兰国”分子 ?	法律窗口
28	:【美国国务卿：叙利亚使用化学武器】[doge]不造谣会死？！[二哈]#全哥辟谣# ?	全哥不吃鱼
29	:【美国国务卿：叙利亚使用化学武器】[doge]不造谣会死？！[二哈]#全哥辟谣# ?	全哥不吃鱼
30	#阿夫林之战# 叙利亚罗贾瓦地区的库尔德武装人员，以及国际库尔德志愿者联盟，包括英籍华人黄磊。前往阿夫林参加对土耳其军的战斗。 寰亚SYHP的秒拍视频 ?	寰亚SYHP
31	:俄增派S400导弹赴叙利亚战斗执勤 保护俄军基地(图) ?	知音难觅对牛弹琴也难
32	:#库尔德##阿夫林##叙利亚#叙利亚阿夫林州在山洞躲避战火的妇孺老弱。孙仲来的秒拍视频（上#秒拍#看我的最新短视频，下载秒拍->http://t.cn/RCxcYwb） ?	孙仲来
33	:我在听【当月 CNN News  - 叙利亚政府军持续空袭反对派控制区】 #新年打卡听力第20天##今日腊八节# 一周又将过去，离过年又近一天[耶] http://t.cn/RQ1CO7F ?	思大爷_2017再出发
34	:中国足球完败叙利亚，锋线无力无情被打脸！ 老哥是球迷的秒拍视频 ?	老哥是球迷
35	:分享网易新闻 《法国冻结在叙利亚的中国企业和个人的资产 》法国冻结在叙利亚的中国企业和个人的资产 来自@网易新闻客户端 #网易新闻# ?	可乐爸dsm
36	:#叙利亚##阿夫林##库尔德#土耳其军队向库尔德武装开火孙仲来的秒拍视频（上#秒拍#看我的最新短视频，下载秒拍->http://t.cn/RCxcYwb） ?	孙仲来
37	:【克宫：美国掩盖对叙利亚化武事件的调查】俄罗斯总统新闻秘书佩斯科夫表示，莫斯科不赞同华盛顿在调查叙利亚化武袭击事件上的做法，美国实际上正在掩盖调查并毫无根据地贴标签。http://t.cn/RQ1omEW ?	俄罗斯卫星通讯社
38	:俄土两国总统强调将继续共同解决叙利亚危机 俄土两国总统强调将继续共同解决叙利亚危机 ?	没有不幸就是幸福
39	:#叙利亚# 一名隶属于叙利亚库尔德武装“人民保卫军”(YPG)的特战队员刚刚被土耳其军队击毙。 ?	孙仲来
40	:2018.1.24 叙利亚-阿夫林：土耳其 T129 武装直升机 攻击 库尔德武装目标 ?	英国军情六处
